商品ID,商品名称,类目,价格,规格,材质,上架日期,上架时长(天),促销力度,优惠券使用占比,曝光量,点击率,转化率,收藏加购率,销量,评分,好评关键词,差评原因
P0015,美妆商品15号,美妆,121.31,200ml,化学合成,2024-07-13,171,0.05,0.5,27611,0.0519,0.086,0.1216,969,4.1,"物流快,材质舒适,颜色正",与描述不符
P0016,美妆商品16号,美妆,157.63,30ml,化学合成,2024-08-21,132,0.27,0.55,365784,0.0978,0.0823,0.1307,33,4.3,"质量好,颜色正",
P0017,服装商品17号,服装,359.82,M,棉,2024-08-02,151,0.36,0.56,147167,0.0959,0.1133,0.1886,62,4.3,"外观漂亮,质量好,尺码准",尺码偏小
P0018,服装商品18号,服装,190.14,XL,涤纶,2024-05-12,233,0.17,0.43,328389,0.0143,0.1429,0.2717,11,4.7,"尺码准,颜色正,质量好,包装精美",
P0019,美妆商品19号,美妆,351.46,200ml,化学合成,2024-03-30,276,0.4,0.57,290949,0.0216,0.1236,0.2552,1364,4.7,"尺码准,颜色正,材质舒适,包装精美",
P0020,食品商品20号,食品,29.15,250g,天然,2024-03-24,282,0.16,0.69,21403,0.0833,0.0495,0.0795,62,3.6,"外观漂亮,尺码准",
P0021,母婴商品21号,母婴,328.53,大号,塑料,2024-10-27,65,0.47,0.7,220207,0.0776,0.1156,0.0758,215,4.0,"材质舒适,物流快","包装破损,色差大"
P0022,家居商品22号,家居,100.29,特大号,金属,2024-05-10,235,0.04,0.16,305196,0.0598,0.0398,0.2865,532,4.2,"质量好,包装精美","与描述不符,物流慢"
P0023,家居商品23号,家居,573.49,特大号,金属,2024-11-23,38,0.04,0.59,45653,0.084,0.1089,0.0703,535,3.7,"包装精美,材质舒适","与描述不符,色差大"
P0024,图书商品24号,图书,82.62,精装,纸张,2024-06-18,196,0.25,0.11,239643,0.0151,0.0266,0.0794,307,3.7,"尺码准,外观漂亮","色差大,包装破损"
P0025,美妆商品25号,美妆,482.71,30ml,化学合成,2024-06-25,189,0.46,0.74,133965,0.0726,0.0206,0.0916,286,3.6,"物流快,外观漂亮","与描述不符,材质一般"
P0026,母婴商品26号,母婴,359.4,中号,塑料,2024-06-21,193,0.04,0.78,493243,0.0728,0.0851,0.1274,240,4.4,"外观漂亮,尺码准","与描述不符,色差大"
P0027,运动商品27号,运动,872.76,S,涤纶,2024-08-05,148,0.49,0.36,377293,0.0454,0.1261,0.1923,165,4.2,"包装精美,外观漂亮",
P0028,图书商品28号,图书,119.97,平装,纸张,2024-05-14,231,0.06,0.77,307025,0.0306,0.104,0.2045,800,4.2,"质量好,物流快,包装精美,颜色正","与描述不符,材质一般"
P0029,食品商品29号,食品,116.58,250g,天然,2024-03-26,280,0.38,0.53,354999,0.0292,0.0291,0.0536,249,3.5,"质量好,尺码准,包装精美",
P0030,运动商品30号,运动,640.98,S,金属,2024-07-22,162,0.38,0.15,32472,0.0659,0.0586,0.1023,532,4.8,"颜色正,性价比高,包装精美,尺码准",
P0031,图书商品31号,图书,72.04,平装,纸张,2024-05-21,224,0.3,0.26,412677,0.0411,0.0587,0.058,1005,5.0,"尺码准,物流快,材质舒适",
P0032,服装商品32号,服装,276.54,L,棉,2024-09-20,102,0.26,0.21,194870,0.0102,0.1316,0.0711,41,4.5,"质量好,外观漂亮,物流快,材质舒适",
P0033,母婴商品33号,母婴,296.59,中号,棉,2024-05-29,216,0.26,0.47,62514,0.0503,0.0846,0.1106,134,4.8,"外观漂亮,尺码准",
P0034,图书商品34号,图书,31.6,精装,纸张,2024-02-06,329,0.18,0.55,244995,0.0626,0.1132,0.1894,122,4.2,"外观漂亮,材质舒适",与描述不符
P0035,运动商品35号,运动,625.49,S,涤纶,2024-07-05,179,0.43,0.16,404873,0.015,0.1279,0.0629,83,4.2,"质量好,材质舒适,物流快,尺码准","色差大,材质一般"
P0036,运动商品36号,运动,932.91,L,金属,2024-11-06,55,0.16,0.4,258729,0.0318,0.0261,0.2027,97,3.8,"性价比高,外观漂亮,材质舒适",
P0037,图书商品37号,图书,91.36,精装,纸张,2024-11-19,42,0.0,0.18,241851,0.0645,0.1212,0.0767,459,3.7,"物流快,外观漂亮","材质一般,与描述不符"
P0038,服装商品38号,服装,383.5,XL,涤纶,2024-01-17,349,0.4,0.68,101338,0.0312,0.0987,0.277,903,4.6,"尺码准,外观漂亮",
P0039,运动商品39号,运动,904.68,M,涤纶,2024-11-09,52,0.2,0.47,42643,0.0306,0.086,0.1579,163,4.0,"尺码准,质量好,颜色正,外观漂亮",
P0040,服装商品40号,服装,190.27,L,棉,2024-02-17,318,0.44,0.34,412416,0.02,0.1285,0.0819,20,4.6,"物流快,性价比高,质量好,尺码准",
P0041,家居商品41号,家居,523.68,特大号,金属,2024-02-14,321,0.48,0.34,121401,0.0481,0.0503,0.2037,483,4.7,"包装精美,材质舒适,物流快",
P0042,食品商品42号,食品,122.66,1kg,天然,2024-01-13,353,0.39,0.36,43771,0.017,0.0246,0.2601,711,4.5,"包装精美,物流快,性价比高,外观漂亮",
P0043,食品商品43号,食品,33.69,100g,天然,2024-12-01,30,0.2,0.14,174246,0.0823,0.0106,0.1334,1212,4.7,"颜色正,材质舒适,外观漂亮,尺码准",
P0044,数码商品44号,数码,2456.1,128GB,金属,2024-07-27,157,0.09,0.45,215273,0.0923,0.0607,0.1951,37,3.7,"尺码准,材质舒适,物流快",
P0045,图书商品45号,图书,149.59,平装,纸张,2024-01-10,356,0.1,0.73,110518,0.0272,0.0151,0.168,346,4.6,"材质舒适,包装精美,外观漂亮,颜色正",
P0046,运动商品46号,运动,468.72,M,橡胶,2024-06-19,195,0.04,0.63,143427,0.0908,0.0837,0.2502,606,4.0,"材质舒适,外观漂亮,物流快,尺码准","与描述不符,物流慢"
P0047,图书商品47号,图书,94.03,套装,纸张,2024-08-27,126,0.49,0.52,405356,0.0966,0.1422,0.0853,421,4.7,"颜色正,包装精美,质量好",
P0048,美妆商品48号,美妆,42.47,100ml,天然,2024-10-27,65,0.31,0.34,414302,0.0427,0.0148,0.2577,545,4.9,"包装精美,颜色正",
P0049,数码商品49号,数码,3841.67,128GB,塑料,2024-05-14,231,0.09,0.44,261104,0.0768,0.1078,0.1506,149,4.2,"材质舒适,质量好",
P0050,母婴商品50号,母婴,73.57,中号,塑料,2024-10-29,63,0.1,0.11,77073,0.091,0.1323,0.1994,412,4.7,"物流快,包装精美",
P0051,食品商品51号,食品,156.47,250g,天然,2024-09-29,93,0.05,0.64,43442,0.0853,0.0712,0.2789,285,3.8,"质量好,颜色正,包装精美,外观漂亮",色差大
P0052,食品商品52号,食品,112.57,500g,天然,2024-04-19,256,0.08,0.54,242376,0.041,0.0592,0.1532,1187,5.0,"包装精美,尺码准",
P0053,食品商品53号,食品,141.99,250g,天然,2024-08-22,131,0.46,0.2,475616,0.0501,0.0359,0.1855,469,3.6,"包装精美,性价比高,尺码准,物流快",材质一般
P0054,数码商品54号,数码,352.82,512GB,塑料,2024-02-18,317,0.28,0.74,26633,0.0728,0.0516,0.2811,589,3.8,"质量好,包装精美,尺码准","尺码偏小,物流慢"
P0055,服装商品55号,服装,342.58,XL,丝绸,2024-05-28,217,0.22,0.38,290489,0.0824,0.0854,0.2154,407,4.3,"材质舒适,物流快","与描述不符,物流慢"
P0056,图书商品56号,图书,44.11,精装,纸张,2024-08-28,125,0.38,0.38,245139,0.0665,0.1323,0.296,940,4.0,"物流快,外观漂亮,性价比高","物流慢,色差大"
P0057,美妆商品57号,美妆,49.78,30ml,天然,2024-09-20,102,0.48,0.66,136901,0.063,0.1475,0.271,54,3.7,"材质舒适,外观漂亮,包装精美,物流快",
P0058,数码商品58号,数码,330.03,256GB,金属,2024-04-05,270,0.31,0.25,263947,0.0638,0.0835,0.1151,1488,4.8,"颜色正,材质舒适,物流快,包装精美",
P0059,家居商品59号,家居,202.82,小号,塑料,2024-09-04,118,0.44,0.29,73462,0.09,0.1438,0.2655,416,3.6,"外观漂亮,包装精美","尺码偏小,材质一般"
P0060,运动商品60号,运动,964.02,XL,涤纶,2024-09-12,110,0.45,0.5,334434,0.0589,0.131,0.2335,18,4.3,"性价比高,材质舒适,尺码准,颜色正","尺码偏小,色差大"
P0061,图书商品61号,图书,110.87,套装,纸张,2024-07-22,162,0.41,0.19,174208,0.0769,0.0325,0.2545,1154,4.2,"物流快,材质舒适,质量好","尺码偏小,包装破损"
P0062,食品商品62号,食品,11.72,100g,天然,2024-06-22,192,0.22,0.69,202154,0.0262,0.1155,0.2472,74,3.5,"材质舒适,颜色正,尺码准",与描述不符
P0063,数码商品63号,数码,4951.73,128GB,金属,2024-05-12,233,0.01,0.12,168569,0.054,0.1179,0.2208,176,4.6,"材质舒适,物流快,质量好",
P0064,美妆商品64号,美妆,431.48,100ml,天然,2024-02-21,314,0.34,0.56,143897,0.0956,0.0311,0.1581,412,3.6,"外观漂亮,质量好",
P0065,运动商品65号,运动,268.46,L,涤纶,2024-01-17,349,0.24,0.48,88030,0.0283,0.0228,0.0884,1238,4.7,"颜色正,材质舒适,外观漂亮,质量好",
P0066,食品商品66号,食品,193.83,1kg,天然,2024-10-17,75,0.3,0.27,283622,0.0303,0.0325,0.2129,268,4.4,"尺码准,材质舒适",与描述不符
P0067,食品商品67号,食品,158.17,1kg,天然,2024-03-10,296,0.49,0.2,254455,0.0656,0.1083,0.1899,304,3.9,"尺码准,物流快,外观漂亮",与描述不符
P0068,图书商品68号,图书,37.25,套装,纸张,2024-09-03,119,0.08,0.17,321850,0.0736,0.0144,0.2841,642,3.8,"外观漂亮,物流快,尺码准,颜色正",包装破损
P0069,食品商品69号,食品,115.07,250g,天然,2024-01-23,343,0.08,0.41,365165,0.0634,0.101,0.1698,859,3.6,"外观漂亮,材质舒适,颜色正,质量好",
P0070,家居商品70号,家居,205.91,特大号,塑料,2024-10-04,88,0.04,0.12,136264,0.0516,0.1316,0.2318,414,4.5,"质量好,物流快",
P0071,食品商品71号,食品,17.62,100g,天然,2024-08-28,125,0.3,0.52,398548,0.069,0.1489,0.121,428,4.1,"尺码准,材质舒适",
P0072,数码商品72号,数码,1263.96,256GB,塑料,2024-02-13,322,0.44,0.41,262260,0.0423,0.093,0.0909,353,3.9,"颜色正,尺码准,材质舒适,物流快","包装破损,色差大"
P0073,图书商品73号,图书,50.51,精装,纸张,2024-05-21,224,0.33,0.2,230222,0.0629,0.1428,0.1131,265,4.2,"性价比高,材质舒适,颜色正",
P0074,运动商品74号,运动,245.55,XL,涤纶,2024-01-03,363,0.02,0.19,231577,0.094,0.0543,0.1768,33,4.9,"尺码准,质量好,物流快",
P0075,运动商品75号,运动,954.22,S,橡胶,2024-05-31,214,0.17,0.47,71613,0.0219,0.0301,0.285,265,4.3,"包装精美,材质舒适,尺码准,物流快",与描述不符
P0076,数码商品76号,数码,1934.05,256GB,塑料,2024-07-10,174,0.06,0.66,460152,0.0641,0.1417,0.2567,305,4.7,"外观漂亮,物流快",
P0077,运动商品77号,运动,352.21,S,涤纶,2024-09-04,118,0.37,0.71,208028,0.0394,0.1035,0.252,938,4.4,"包装精美,性价比高,材质舒适",包装破损
P0078,食品商品78号,食品,125.87,500g,天然,2024-01-21,345,0.22,0.11,297660,0.0252,0.1,0.2398,464,4.3,"包装精美,外观漂亮",材质一般
P0079,美妆商品79号,美妆,145.65,100ml,化学合成,2024-10-20,72,0.48,0.11,105931,0.0107,0.1006,0.2745,755,4.6,"尺码准,性价比高",
P0080,家居商品80号,家居,108.09,特大号,木材,2024-10-11,81,0.29,0.16,361641,0.046,0.1467,0.2558,614,4.3,"颜色正,尺码准,质量好","尺码偏小,色差大"
P0081,食品商品81号,食品,90.66,250g,天然,2024-03-14,292,0.06,0.1,322612,0.0564,0.0931,0.2484,919,4.3,"物流快,包装精美,尺码准,材质舒适","物流慢,与描述不符"
P0082,食品商品82号,食品,137.57,100g,天然,2024-07-09,175,0.08,0.26,435937,0.0526,0.085,0.0946,699,4.1,"颜色正,尺码准",
P0083,母婴商品83号,母婴,80.48,中号,塑料,2024-01-14,352,0.01,0.34,411166,0.0643,0.0572,0.2764,274,4.6,"性价比高,外观漂亮",
P0084,母婴商品84号,母婴,165.77,小号,棉,2024-05-20,225,0.03,0.55,142862,0.0634,0.1052,0.1077,303,4.5,"质量好,包装精美,颜色正",
P0085,服装商品85号,服装,497.97,XL,丝绸,2024-03-13,293,0.32,0.63,93534,0.0469,0.0692,0.2555,354,4.9,"颜色正,质量好",
P0086,图书商品86号,图书,71.91,精装,纸张,2024-11-27,34,0.34,0.17,135953,0.0809,0.1311,0.2021,713,3.9,"尺码准,材质舒适,物流快",
P0087,服装商品87号,服装,299.21,L,丝绸,2024-06-05,209,0.08,0.65,291547,0.061,0.0647,0.1753,213,4.8,"质量好,包装精美",
P0088,数码商品88号,数码,4353.48,512GB,塑料,2024-11-25,36,0.09,0.59,179588,0.0978,0.0997,0.2556,45,4.1,"外观漂亮,材质舒适",包装破损
P0089,服装商品89号,服装,421.34,XXL,棉,2024-11-07,54,0.06,0.52,468860,0.0888,0.0489,0.2629,86,4.7,"材质舒适,质量好",
P0090,家居商品90号,家居,464.62,中号,陶瓷,2024-07-25,159,0.15,0.4,93625,0.0167,0.1196,0.1163,280,4.4,"尺码准,性价比高,物流快,颜色正",
P0091,食品商品91号,食品,110.14,500g,天然,2024-06-07,207,0.1,0.36,212923,0.0845,0.1127,0.2423,91,4.2,"包装精美,颜色正,外观漂亮","物流慢,尺码偏小"
P0092,图书商品92号,图书,100.46,平装,纸张,2024-05-03,242,0.03,0.13,191990,0.0339,0.1005,0.1748,897,3.8,"质量好,物流快,外观漂亮,材质舒适","色差大,包装破损"
P0093,数码商品93号,数码,3946.58,128GB,金属,2024-08-19,134,0.4,0.15,146890,0.0937,0.0454,0.2453,17,4.9,"包装精美,外观漂亮,颜色正,尺码准",
P0094,图书商品94号,图书,87.39,套装,纸张,2024-09-24,98,0.02,0.16,360998,0.0165,0.02,0.053,642,4.5,"尺码准,质量好",
P0095,图书商品95号,图书,121.9,套装,纸张,2024-03-16,290,0.21,0.16,262182,0.0909,0.1195,0.107,424,3.6,"包装精美,颜色正",色差大
P0096,运动商品96号,运动,901.02,S,橡胶,2024-06-21,193,0.29,0.62,407767,0.0691,0.0279,0.1346,147,4.4,"颜色正,尺码准,包装精美",色差大
P0097,母婴商品97号,母婴,213.54,小号,塑料,2024-08-02,151,0.46,0.28,379970,0.0514,0.1279,0.2321,865,4.8,"外观漂亮,颜色正,性价比高,质量好",
P0098,美妆商品98号,美妆,372.14,30ml,化学合成,2024-05-03,242,0.25,0.69,369072,0.0588,0.0926,0.1771,593,3.8,"外观漂亮,性价比高,质量好,材质舒适",
P0099,美妆商品99号,美妆,444.28,200ml,化学合成,2024-04-22,253,0.37,0.67,311339,0.0719,0.0625,0.1847,875,4.0,"颜色正,物流快,尺码准",
P0100,家居商品100号,家居,678.32,特大号,陶瓷,2024-05-05,240,0.36,0.72,300591,0.0452,0.0678,0.2239,1755,4.6,"外观漂亮,物流快",
