商品ID,商品名称,类目,价格,规格,材质,上架时长,总销量,促销力度,优惠券使用率,曝光量,点击率,转化率,收藏加购率,评分,评价数
P097,商品_97,家居用品,2683.52,5kg,真皮,268,628,0.37,0.29,13999,0.1342,0.0734,0.1827,3.3,1399
P022,商品_22,电子产品,4437.19,1L,金属,92,597,0.31,0.05,60207,0.0332,0.0131,0.1448,3.9,4675
P002,商品_2,美妆护肤,382.01,L,真皮,108,550,0.42,0.25,37159,0.1377,0.0643,0.0204,4.7,895
P048,商品_48,家居用品,3170.68,2L,玻璃,247,547,0.26,0.07,97646,0.0536,0.084,0.0994,3.1,4189
P064,商品_64,运动户外,2092.88,S,陶瓷,100,460,0.04,0.23,98720,0.122,0.0616,0.1879,4.9,994
P069,商品_69,服装鞋帽,1622.78,2L,棉麻,23,447,0.32,0.17,83870,0.1271,0.0418,0.0268,4.9,1060
P072,商品_72,运动户外,1824.51,L,丝绸,246,437,0.45,0.05,20029,0.11,0.0181,0.0689,3.0,969
P023,商品_23,家居用品,2366.35,10kg,棉麻,58,410,0.18,0.36,76046,0.0361,0.0848,0.0293,4.2,3619
P058,商品_58,家居用品,1147.4,M,塑料,94,400,0.23,0.33,26053,0.0849,0.0337,0.0952,4.7,802
P040,商品_40,家居用品,2057.81,XL,塑料,89,398,0.07,0.24,37455,0.1386,0.0462,0.114,3.0,3788
P060,商品_60,家居用品,4091.89,500ml,真皮,204,375,0.25,0.07,1922,0.0519,0.0759,0.1983,3.3,1819
P095,商品_95,家居用品,3165.21,500ml,棉麻,179,361,0.14,0.39,15153,0.0575,0.0416,0.1792,4.5,2023
P100,商品_100,美妆护肤,1610.69,S,真皮,168,354,0.19,0.03,77077,0.1227,0.0168,0.0317,3.3,175
P079,商品_79,家居用品,194.07,500ml,棉麻,147,341,0.14,0.02,30486,0.0568,0.0649,0.1041,3.5,2263
P094,商品_94,电子产品,1845.24,XXL,合成材料,33,330,0.03,0.33,78834,0.0933,0.041,0.1968,3.4,283
P083,商品_83,家居用品,1400.45,2L,合成材料,4,318,0.23,0.4,41631,0.1356,0.0222,0.126,4.1,1773
P027,商品_27,家居用品,2810.77,5kg,金属,318,281,0.39,0.2,12954,0.0418,0.0875,0.1999,4.7,3366
P029,商品_29,电子产品,2474.04,S,玻璃,127,268,0.43,0.21,73101,0.0631,0.0977,0.1052,3.8,48
P096,商品_96,家居用品,3171.31,L,丝绸,101,264,0.4,0.05,77325,0.0897,0.0472,0.1281,4.6,4443
P057,商品_57,服装鞋帽,559.16,M,玻璃,47,256,0.13,0.35,60379,0.1305,0.0226,0.1778,4.0,3066
P043,商品_43,美妆护肤,394.13,2L,合成材料,189,253,0.29,0.06,12302,0.1378,0.048,0.0856,4.1,3521
P067,商品_67,服装鞋帽,1694.7,XXL,合成材料,222,241,0.08,0.07,65484,0.0975,0.0794,0.0295,3.4,529
P006,商品_6,服装鞋帽,37.56,10kg,塑料,262,236,0.03,0.01,9007,0.1117,0.0227,0.0766,3.1,3201
P021,商品_21,美妆护肤,3191.41,M,合成材料,275,218,0.34,0.13,44303,0.043,0.0427,0.1364,4.8,2516
P075,商品_75,运动户外,1266.39,L,陶瓷,290,211,0.09,0.23,44872,0.0774,0.0853,0.0805,4.8,4483
P047,商品_47,服装鞋帽,4042.52,S,金属,349,210,0.17,0.11,93738,0.0147,0.0715,0.1154,5.0,4036
P020,商品_20,家居用品,3650.73,5kg,玻璃,319,208,0.11,0.08,85056,0.0272,0.0843,0.1826,5.0,3004
P034,商品_34,家居用品,166.83,1L,棉麻,239,206,0.07,0.11,20096,0.026,0.0524,0.0408,3.1,1108
P004,商品_4,美妆护肤,3863.5,XL,棉麻,103,200,0.21,0.19,6951,0.0241,0.0966,0.0209,4.7,31
P052,商品_52,服装鞋帽,4463.87,XL,塑料,86,197,0.43,0.16,88487,0.0398,0.016,0.1169,4.1,943
P001,商品_1,家居用品,4012.96,500ml,合成材料,60,194,0.42,0.19,6415,0.0961,0.099,0.034,3.8,927
P025,商品_25,运动户外,3569.09,1L,合成材料,229,184,0.34,0.27,94709,0.0565,0.0796,0.0279,3.1,1463
P030,商品_30,食品饮料,2618.44,M,合成材料,129,160,0.28,0.23,72520,0.1142,0.0802,0.0763,3.5,3352
P005,商品_5,美妆护肤,1001.59,L,丝绸,196,158,0.14,0.3,88388,0.0458,0.095,0.0386,3.2,4579
P011,商品_11,家居用品,379.48,XL,陶瓷,308,156,0.28,0.21,87740,0.0132,0.0762,0.1138,4.6,4821
P053,商品_53,服装鞋帽,2701.32,L,陶瓷,185,148,0.47,0.39,57819,0.0821,0.0465,0.1391,4.3,3608
P017,商品_17,运动户外,327.16,2L,金属,147,147,0.06,0.15,17984,0.0246,0.092,0.1503,3.5,916
P059,商品_59,家居用品,2141.27,M,丝绸,238,144,0.49,0.1,10446,0.0358,0.034,0.1031,3.5,801
P039,商品_39,家居用品,1253.97,L,陶瓷,48,141,0.11,0.39,19381,0.0773,0.0729,0.1019,3.5,3540
P014,商品_14,美妆护肤,4316.89,2L,陶瓷,124,139,0.42,0.21,24930,0.0624,0.0889,0.1565,4.0,2438
P066,商品_66,家居用品,608.13,S,陶瓷,254,113,0.06,0.31,45028,0.0756,0.0464,0.0217,4.4,3390
P098,商品_98,美妆护肤,460.55,XXL,塑料,323,77,0.09,0.38,56318,0.0879,0.0638,0.1981,4.5,3576
P036,商品_36,运动户外,1578.64,5kg,金属,96,67,0.38,0.26,35016,0.1309,0.0536,0.1632,4.9,3211
P016,商品_16,家居用品,1661.18,M,陶瓷,158,64,0.23,0.11,21611,0.0208,0.0534,0.1566,3.5999999999999996,38
P084,商品_84,运动户外,4542.25,M,真皮,16,52,0.1,0.13,21103,0.0837,0.0335,0.0699,3.0,530
P065,商品_65,电子产品,1118.32,XL,合成材料,289,46,0.06,0.11,67656,0.0589,0.0654,0.0326,3.0,3686
P081,商品_81,服装鞋帽,2518.37,L,金属,257,45,0.04,0.05,72895,0.1155,0.025699999999999997,0.1735,3.0,3975
P033,商品_33,家居用品,548.38,XXL,玻璃,1,27,0.2,0.05,10184,0.0945,0.07869999999999999,0.0547,4.2,2214
P015,商品_15,服装鞋帽,3120.26,1L,棉麻,106,27,0.12,0.1,1077,0.0196,0.0479,0.135,3.7,2517
P086,商品_86,家居用品,733.03,S,金属,336,26,0.25,0.1,15382,0.1471,0.038599999999999995,0.0281,3.0,126
P087,商品_87,电子产品,2452.37,S,金属,247,22,0.35,0.27,85291,0.1276,0.01,0.0397,4.1,2443
P055,商品_55,服装鞋帽,4481.5,L,丝绸,220,18,0.46,0.16,72324,0.0743,0.0548,0.1136,4.2,1990
P041,商品_41,电子产品,3780.2,2L,塑料,237,17,0.01,0.09,93263,0.0922,0.01,0.136,3.9000000000000004,2906
